"Record_number","Study_midyear","Latitude","Longitude","Site.x","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Site.y"
1,2001.5,56.63,-99.94,"56.75 -99.75",37.05,32.025,40.1416666666667,30.65,35.7416666666667,43.275,36.2916666666667,35.7583333333333,31.8083333333333,33.6166666666667,36.6166666666667,45.0083333333333,32.6,45.1083333333333,34.3583333333333,34.8,34.3083333333333,30.7583333333333,35.625,46.85,33.9666666666667,36.125,40.8666666666667,42.175,34.6,30.6583333333333,34.1416666666667,26.85,33.0583333333333,32.6916666666667,42.5083333333333,37.5,"56.75 -99.75"
2,2001.5,56.46,-99.97,"56.25 -99.75",30.5416666666667,29.7,37.8333333333333,29.0083333333333,36.0083333333333,43.125,36.4916666666667,37.1333333333333,31.5,32.15,37.8166666666667,44.1666666666667,30.6666666666667,41.025,25.3916666666667,35.2916666666667,31.1666666666667,28.8083333333333,33.0833333333333,51.4416666666667,35.6166666666667,37.5416666666667,37.3583333333333,39.3166666666667,34.4416666666667,31.3666666666667,35.475,27.4916666666667,32.625,33.5916666666667,41.7916666666667,39.6416666666667,"56.25 -99.75"
3,2001.5,55.91,-98.98,"55.75 -98.75",46.025,38.3333333333333,42.9333333333333,32.9666666666667,36.075,44.0833333333333,33.2666666666667,37.4333333333333,32.725,37.55,41.9083333333333,48.9416666666667,34.0333333333333,40.5166666666667,39.925,34.4666666666667,33.475,28.9333333333333,31.125,61.3833333333333,40.6416666666667,44.35,39.5416666666667,41.6666666666667,41.2333333333333,38.3166666666667,42.9,34.4,40.8,42.1166666666667,44.725,43.025,"55.75 -98.75"
4,2001.5,55.86,-98.48,"55.75 -98.25",49.725,39.3916666666667,45.5,34.6916666666667,37.0083333333333,44.475,32.425,37.5,32.1916666666667,38.7583333333333,41.825,50.5666666666667,35.675,41.125,49.2666666666667,39.675,42.0166666666667,30.6083333333333,38.5666666666667,67.8416666666667,43.5916666666667,47.9666666666667,41.5916666666667,42.65,42.7,40.1583333333333,45.425,36.2083333333333,44.2333333333333,42.7833333333333,45.9833333333333,43.4083333333333,"55.75 -98.25"
5,2001.5,55.92,-98.39,"55.75 -98.25",49.725,39.3916666666667,45.5,34.6916666666667,37.0083333333333,44.475,32.425,37.5,32.1916666666667,38.7583333333333,41.825,50.5666666666667,35.675,41.125,49.2666666666667,39.675,42.0166666666667,30.6083333333333,38.5666666666667,67.8416666666667,43.5916666666667,47.9666666666667,41.5916666666667,42.65,42.7,40.1583333333333,45.425,36.2083333333333,44.2333333333333,42.7833333333333,45.9833333333333,43.4083333333333,"55.75 -98.25"
6,2001.5,55.91,-98.52,"55.75 -98.75",46.025,38.3333333333333,42.9333333333333,32.9666666666667,36.075,44.0833333333333,33.2666666666667,37.4333333333333,32.725,37.55,41.9083333333333,48.9416666666667,34.0333333333333,40.5166666666667,39.925,34.4666666666667,33.475,28.9333333333333,31.125,61.3833333333333,40.6416666666667,44.35,39.5416666666667,41.6666666666667,41.2333333333333,38.3166666666667,42.9,34.4,40.8,42.1166666666667,44.725,43.025,"55.75 -98.75"
7,2001.5,55.88,-98.48,"55.75 -98.25",49.725,39.3916666666667,45.5,34.6916666666667,37.0083333333333,44.475,32.425,37.5,32.1916666666667,38.7583333333333,41.825,50.5666666666667,35.675,41.125,49.2666666666667,39.675,42.0166666666667,30.6083333333333,38.5666666666667,67.8416666666667,43.5916666666667,47.9666666666667,41.5916666666667,42.65,42.7,40.1583333333333,45.425,36.2083333333333,44.2333333333333,42.7833333333333,45.9833333333333,43.4083333333333,"55.75 -98.25"
8,2001.5,56.63,-99.94,"56.75 -99.75",37.05,32.025,40.1416666666667,30.65,35.7416666666667,43.275,36.2916666666667,35.7583333333333,31.8083333333333,33.6166666666667,36.6166666666667,45.0083333333333,32.6,45.1083333333333,34.3583333333333,34.8,34.3083333333333,30.7583333333333,35.625,46.85,33.9666666666667,36.125,40.8666666666667,42.175,34.6,30.6583333333333,34.1416666666667,26.85,33.0583333333333,32.6916666666667,42.5083333333333,37.5,"56.75 -99.75"
9,2001.5,56.46,-99.98,"56.25 -99.75",30.5416666666667,29.7,37.8333333333333,29.0083333333333,36.0083333333333,43.125,36.4916666666667,37.1333333333333,31.5,32.15,37.8166666666667,44.1666666666667,30.6666666666667,41.025,25.3916666666667,35.2916666666667,31.1666666666667,28.8083333333333,33.0833333333333,51.4416666666667,35.6166666666667,37.5416666666667,37.3583333333333,39.3166666666667,34.4416666666667,31.3666666666667,35.475,27.4916666666667,32.625,33.5916666666667,41.7916666666667,39.6416666666667,"56.25 -99.75"
10,2001.5,55.9,-98.98,"55.75 -98.75",46.025,38.3333333333333,42.9333333333333,32.9666666666667,36.075,44.0833333333333,33.2666666666667,37.4333333333333,32.725,37.55,41.9083333333333,48.9416666666667,34.0333333333333,40.5166666666667,39.925,34.4666666666667,33.475,28.9333333333333,31.125,61.3833333333333,40.6416666666667,44.35,39.5416666666667,41.6666666666667,41.2333333333333,38.3166666666667,42.9,34.4,40.8,42.1166666666667,44.725,43.025,"55.75 -98.75"
