"Record_number","Study_midyear","Latitude","Longitude","Site.x","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Site.y"
1,2001.5,56.63,-99.94,"56.75 -99.75",-3.01666666666667,-0.733333333333333,-2.99166666666667,-4.31666666666667,-3.625,-2.775,-2.60833333333333,-2.475,-2.50833333333333,-2.96666666666667,-3.66666666666667,-2.375,-0.55,-0.841666666666667,-2.50833333333333,-1.05833333333333,-3.55833333333333,-2.16666666666667,-4.48333333333333,-1.96666666666667,-0.558333333333333,-3.08333333333333,-3.80833333333333,-3.425,-0.266666666666667,-1.78333333333333,-1.85833333333333,-3.44166666666667,-3.94166666666667,-1.78333333333333,-1.39166666666667,-2.24166666666667,"56.75 -99.75"
2,2001.5,56.46,-99.97,"56.25 -99.75",-3.075,-0.808333333333333,-3.03333333333333,-4.375,-3.66666666666667,-2.925,-2.75833333333333,-2.61666666666667,-2.58333333333333,-3.08333333333333,-3.95833333333333,-2.7,-0.908333333333333,-1.15,-2.55833333333333,-1.025,-3.45833333333333,-2.14166666666667,-4.35833333333333,-1.88333333333333,-0.708333333333333,-3,-3.8,-3.35,-0.4,-1.83333333333333,-1.81666666666667,-3.51666666666667,-3.99166666666667,-1.74166666666667,-1.30833333333333,-2.25,"56.25 -99.75"
3,2001.5,55.91,-98.98,"55.75 -98.75",-2.8,-0.483333333333333,-2.8,-4.24166666666667,-3.725,-3.06666666666667,-3.23333333333333,-3.075,-3.03333333333333,-3.19166666666667,-4.125,-2.88333333333333,-0.991666666666667,-0.966666666666667,-1.91666666666667,-0.433333333333333,-2.79166666666667,-1.48333333333333,-3.56666666666667,-1.24166666666667,-0.133333333333333,-2.28333333333333,-3.68333333333333,-3.1,-0.225,-1.89166666666667,-1.68333333333333,-3.59166666666667,-4.075,-1.7,-1.14166666666667,-2.25833333333333,"55.75 -98.75"
4,2001.5,55.86,-98.48,"55.75 -98.25",-2.91666666666667,-0.475,-2.73333333333333,-4.2,-3.75833333333333,-3.20833333333333,-3.40833333333333,-3.20833333333333,-3.1,-3.25833333333333,-4.14166666666667,-2.975,-0.983333333333334,-0.983333333333333,-2.325,-0.783333333333333,-3.19166666666667,-1.9,-3.91666666666667,-1.54166666666667,-0.475,-2.70833333333333,-3.63333333333333,-3.01666666666667,-0.116666666666667,-1.86666666666667,-1.63333333333333,-3.56666666666667,-4.08333333333333,-1.68333333333333,-1.1,-2.26666666666667,"55.75 -98.25"
5,2001.5,55.92,-98.39,"55.75 -98.25",-2.91666666666667,-0.475,-2.73333333333333,-4.2,-3.75833333333333,-3.20833333333333,-3.40833333333333,-3.20833333333333,-3.1,-3.25833333333333,-4.14166666666667,-2.975,-0.983333333333334,-0.983333333333333,-2.325,-0.783333333333333,-3.19166666666667,-1.9,-3.91666666666667,-1.54166666666667,-0.475,-2.70833333333333,-3.63333333333333,-3.01666666666667,-0.116666666666667,-1.86666666666667,-1.63333333333333,-3.56666666666667,-4.08333333333333,-1.68333333333333,-1.1,-2.26666666666667,"55.75 -98.25"
6,2001.5,55.91,-98.52,"55.75 -98.75",-2.8,-0.483333333333333,-2.8,-4.24166666666667,-3.725,-3.06666666666667,-3.23333333333333,-3.075,-3.03333333333333,-3.19166666666667,-4.125,-2.88333333333333,-0.991666666666667,-0.966666666666667,-1.91666666666667,-0.433333333333333,-2.79166666666667,-1.48333333333333,-3.56666666666667,-1.24166666666667,-0.133333333333333,-2.28333333333333,-3.68333333333333,-3.1,-0.225,-1.89166666666667,-1.68333333333333,-3.59166666666667,-4.075,-1.7,-1.14166666666667,-2.25833333333333,"55.75 -98.75"
7,2001.5,55.88,-98.48,"55.75 -98.25",-2.91666666666667,-0.475,-2.73333333333333,-4.2,-3.75833333333333,-3.20833333333333,-3.40833333333333,-3.20833333333333,-3.1,-3.25833333333333,-4.14166666666667,-2.975,-0.983333333333334,-0.983333333333333,-2.325,-0.783333333333333,-3.19166666666667,-1.9,-3.91666666666667,-1.54166666666667,-0.475,-2.70833333333333,-3.63333333333333,-3.01666666666667,-0.116666666666667,-1.86666666666667,-1.63333333333333,-3.56666666666667,-4.08333333333333,-1.68333333333333,-1.1,-2.26666666666667,"55.75 -98.25"
8,2001.5,56.63,-99.94,"56.75 -99.75",-3.01666666666667,-0.733333333333333,-2.99166666666667,-4.31666666666667,-3.625,-2.775,-2.60833333333333,-2.475,-2.50833333333333,-2.96666666666667,-3.66666666666667,-2.375,-0.55,-0.841666666666667,-2.50833333333333,-1.05833333333333,-3.55833333333333,-2.16666666666667,-4.48333333333333,-1.96666666666667,-0.558333333333333,-3.08333333333333,-3.80833333333333,-3.425,-0.266666666666667,-1.78333333333333,-1.85833333333333,-3.44166666666667,-3.94166666666667,-1.78333333333333,-1.39166666666667,-2.24166666666667,"56.75 -99.75"
9,2001.5,56.46,-99.98,"56.25 -99.75",-3.075,-0.808333333333333,-3.03333333333333,-4.375,-3.66666666666667,-2.925,-2.75833333333333,-2.61666666666667,-2.58333333333333,-3.08333333333333,-3.95833333333333,-2.7,-0.908333333333333,-1.15,-2.55833333333333,-1.025,-3.45833333333333,-2.14166666666667,-4.35833333333333,-1.88333333333333,-0.708333333333333,-3,-3.8,-3.35,-0.4,-1.83333333333333,-1.81666666666667,-3.51666666666667,-3.99166666666667,-1.74166666666667,-1.30833333333333,-2.25,"56.25 -99.75"
10,2001.5,55.9,-98.98,"55.75 -98.75",-2.8,-0.483333333333333,-2.8,-4.24166666666667,-3.725,-3.06666666666667,-3.23333333333333,-3.075,-3.03333333333333,-3.19166666666667,-4.125,-2.88333333333333,-0.991666666666667,-0.966666666666667,-1.91666666666667,-0.433333333333333,-2.79166666666667,-1.48333333333333,-3.56666666666667,-1.24166666666667,-0.133333333333333,-2.28333333333333,-3.68333333333333,-3.1,-0.225,-1.89166666666667,-1.68333333333333,-3.59166666666667,-4.075,-1.7,-1.14166666666667,-2.25833333333333,"55.75 -98.75"
