Record_number,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Ra_annual,Rh_annual,Rh_ratio,Mean.Temp.,ΔMean.Temp.,Stdev.Temp.30y,Mean.Precip.,ΔMean.Precip.,Stdev.Precip.30y,Latitude2,ΔMAT.Standardized,ΔMAP.Standardized,SOC_015,SOC_200
1,2001.5,1.5,56.75,-99.75,56.75 -99.75,56.63,-99.94,56.63 -99.94,2534,272.7,Boreal,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Aggrading,255,7,262,1,-6.116666667,-3.654947917,1.174843438,28.47777778,-7.695138889,4.808329773,56.63,-3.111008495,-1.600376691,144729,57889
2,2001.5,1.5,56.25,-99.75,56.25 -99.75,56.46,-99.97,56.46 -99.97,2534,275.2,Boreal,Deciduous Forest,Deciduous,0.8,450,IRGA,Exclusion,Aggrading,85,9,76,0.894117647,-6.127777778,-3.603298611,1.135729697,27.62777778,-7.641232639,5.449014441,56.46,-3.172672706,-1.402314624,129885,89582
3,2001.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.98,55.91 -98.98,2534,282.6,Boreal,Deciduous Forest,Deciduous,0.8,450,IRGA,Exclusion,Aggrading,425,140,285,0.670588235,-5.361111111,-2.991840278,1.236084097,29.17222222,-10.50954861,6.302917714,55.91,-2.420418064,-1.667410093,192972,128768
4,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.86,-98.48,55.86 -98.48,2534,263.4,Boreal,Mixed Forest,Mixed,0.8,450,IRGA,Exclusion,Aggrading,551,166,385,0.698729583,-5.744444444,-3.270746528,1.212676664,33.66111111,-8.386805556,7.08704456,55.86,-2.697129933,-1.18339958,192972,109096
5,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.92,-98.39,55.92 -98.39,2534,258.6,Boreal,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Aggrading,484,106,378,0.780991736,-5.744444444,-3.270746528,1.212676664,33.66111111,-8.386805556,7.08704456,55.92,-2.697129933,-1.18339958,183076,103680
6,2001.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.52,55.91 -98.52,2534,268.7,Boreal,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Mature,540,146,394,0.72962963,-5.361111111,-2.991840278,1.236084097,29.17222222,-10.50954861,6.302917714,55.91,-2.420418064,-1.667410093,216471,132612
7,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.88,-98.48,55.88 -98.48,2534,256.9,Boreal,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Mature,375,46,329,0.877333333,-5.744444444,-3.270746528,1.212676664,33.66111111,-8.386805556,7.08704456,55.88,-2.697129933,-1.18339958,206904,154770
8,2001.5,1.5,56.75,-99.75,56.75 -99.75,56.63,-99.94,56.63 -99.94,2534,272.7,Boreal,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Aggrading,137,3,134,0.97810219,-6.116666667,-3.654947917,1.174843438,28.47777778,-7.695138889,4.808329773,56.63,-3.111008495,-1.600376691,109044,57889
9,2001.5,1.5,56.25,-99.75,56.25 -99.75,56.46,-99.98,56.46 -99.98,2534,280.7,Boreal,Deciduous Forest,Deciduous,0.8,450,IRGA,Exclusion,Aggrading,513,15,498,0.970760234,-6.127777778,-3.603298611,1.135729697,27.62777778,-7.641232639,5.449014441,56.46,-3.172672706,-1.402314624,114636,66062
10,2001.5,1.5,55.75,-98.75,55.75 -98.75,55.9,-98.98,55.9 -98.98,2534,256,Boreal,Deciduous Forest,Deciduous,0.8,450,IRGA,Exclusion,Aggrading,337,98,239,0.709198813,-5.361111111,-2.991840278,1.236084097,29.17222222,-10.50954861,6.302917714,55.9,-2.420418064,-1.667410093,226440,94588
11,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.86,-98.48,55.86 -98.48,2534,263.4,Boreal,Mixed Forest,Mixed,0.8,450,IRGA,Exclusion,Aggrading,570,216,354,0.621052632,-5.744444444,-3.270746528,1.212676664,33.66111111,-8.386805556,7.08704456,55.86,-2.697129933,-1.18339958,13140,109096
12,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.92,-98.39,55.92 -98.39,2534,258.6,Boreal,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Aggrading,397,67,330,0.831234257,-5.744444444,-3.270746528,1.212676664,33.66111111,-8.386805556,7.08704456,55.92,-2.697129933,-1.18339958,153772,103680
13,2001.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.51,55.91 -98.51,2534,251.8,Boreal,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Mature,338,48,290,0.857988166,-5.361111111,-2.991840278,1.236084097,29.17222222,-10.50954861,6.302917714,55.91,-2.420418064,-1.667410093,98705,80850
